PostalCode,PostalCode Lat,PostalCode Long,Borough,Venue,Venue Lat,Venue Long,Venue Category
M4X,43.667967,-79.3676753,Downtown Toronto,Cranberries,43.6678427705951,-79.36940687874281,Diner
M4X,43.667967,-79.3676753,Downtown Toronto,Butter Chicken Factory,43.66707247004843,-79.36918422958169,Indian Restaurant
M4X,43.667967,-79.3676753,Downtown Toronto,F'Amelia,43.66753590663226,-79.36861331485827,Italian Restaurant
M4X,43.667967,-79.3676753,Downtown Toronto,Kingyo Toronto,43.66589495808371,-79.36841520638596,Japanese Restaurant
M4X,43.667967,-79.3676753,Downtown Toronto,Murgatroid,43.66738149016019,-79.36931129229457,Restaurant
M4X,43.667967,-79.3676753,Downtown Toronto,Cabbagetown Brew,43.66692279890784,-79.36928929560437,Café
M4X,43.667967,-79.3676753,Downtown Toronto,Merryberry Cafe + Bistro,43.66663020301851,-79.36879184199822,Café
M4X,43.667967,-79.3676753,Downtown Toronto,St. Jamestown Delicatessen,43.66581142395609,-79.36864825640076,Butcher
M4X,43.667967,-79.3676753,Downtown Toronto,Toronto Dance Theatre,43.66623230619368,-79.36707506629983,General Entertainment
M4X,43.667967,-79.3676753,Downtown Toronto,Fair Trade Jewellery Co.,43.6653480241165,-79.36836240366654,Jewelry Store
M4X,43.667967,-79.3676753,Downtown Toronto,Under The Table,43.667447809465216,-79.36932421942781,Restaurant
M4X,43.667967,-79.3676753,Downtown Toronto,Absolute Bakery & Café,43.667469462461995,-79.36927654747196,Bakery
M4X,43.667967,-79.3676753,Downtown Toronto,House on Parliament,43.663645704974314,-79.36785378722945,Gastropub
M4X,43.667967,-79.3676753,Downtown Toronto,Pet Valu,43.66420501339666,-79.36846012382637,Pet Store
M4X,43.667967,-79.3676753,Downtown Toronto,Stout Irish Pub,43.66389071833622,-79.3690300810636,Pub
M4X,43.667967,-79.3676753,Downtown Toronto,Mr. Jerk,43.66732847256732,-79.37338943621165,Caribbean Restaurant
M4X,43.667967,-79.3676753,Downtown Toronto,Kanpai Snack Bar,43.664330935948634,-79.36806503124257,Taiwanese Restaurant
M4X,43.667967,-79.3676753,Downtown Toronto,Labour Of Love,43.663907,-79.368822,Gift Shop
M4X,43.667967,-79.3676753,Downtown Toronto,The Pear Tree,43.664904018134834,-79.36824639094671,Restaurant
M4X,43.667967,-79.3676753,Downtown Toronto,The Epicure Shop,43.663964860964924,-79.36779540886938,Deli / Bodega
M4X,43.667967,-79.3676753,Downtown Toronto,Hey Lucy,43.66407509923825,-79.36865505824356,Italian Restaurant
M4X,43.667967,-79.3676753,Downtown Toronto,Jetfuel Coffee,43.66529519392083,-79.3683345416816,Coffee Shop
M4X,43.667967,-79.3676753,Downtown Toronto,Wellesley Park,43.6696487958367,-79.3621551990509,Park
M4X,43.667967,-79.3676753,Downtown Toronto,Sunny Green Vegetable and Fruit,43.667555388483756,-79.3724347693053,Market
M4X,43.667967,-79.3676753,Downtown Toronto,Thai Room - Cabbagetown,43.66403650515006,-79.36823894757337,Thai Restaurant
M4X,43.667967,-79.3676753,Downtown Toronto,TD Canada Trust,43.66465469253796,-79.36788707971579,Bank
M4X,43.667967,-79.3676753,Downtown Toronto,LCBO,43.665585593088366,-79.36853050840249,Liquor Store
M4X,43.667967,-79.3676753,Downtown Toronto,Winchester Park,43.66623107575282,-79.3716312803108,Playground
